,day,krs_P0,krs_P1,krs_P2,krs_P3
0,1.0,-0.0,-0.0,-0.0,-0.0
1,2.0,-0.0,-0.0,-0.0,-0.0
2,3.0,-0.0,-0.0,-0.0,-0.0
3,4.0,-0.0,-0.0,-0.0,-0.0
4,5.0,-0.0,-0.0,-0.0,-0.0
5,6.0,-0.0,-0.0,-0.0,-0.0
6,7.0,-0.0,-0.0,-0.0,-0.0
7,8.0,-0.0,-0.0,-0.0,-0.0
8,9.0,-0.0,-0.0,-0.0,-0.0
9,10.0,-0.0,-0.0,-0.0,-0.0
10,11.0,-0.0,-0.0,-0.0,-0.0
11,12.0,-0.0,-0.0,-0.0,-0.0
12,13.0,-0.0,-0.0,-0.0,-0.0
13,14.0,-0.0,-0.0,-0.0,-0.0
14,15.0,-0.0,-0.0,-0.0,-0.0
15,16.0,-0.0,-0.0,-0.0,-0.0
16,17.0,-0.0,-0.0,-0.0,-0.0
17,18.0,-0.0,-0.0,-0.0,-0.0
18,19.0,-0.0,-0.0,-0.0,-0.0
19,20.0,-0.0,-0.0,-0.0,-0.0
20,21.0,-0.0,-0.0,-0.0,-0.0
21,22.0,-0.0,-0.0,-0.0,-0.0
22,23.0,-0.0,-0.0,-0.0,-0.0
23,24.0,-0.0,-0.0,-0.0,-0.0
24,25.0,-0.0,-0.0,-0.0,-0.0
25,26.0,-0.0,-0.0,-0.0,-0.0
26,27.0,-0.0,-0.0,-0.0,-0.0
27,28.0,-0.0,-0.0,-0.0,-0.0
28,1.0,-0.0,-0.0,-0.0,-0.0
29,2.0,-0.0,-0.0,-0.0,-0.0
30,3.0,-0.0,-0.0,-0.0,-0.0
31,4.0,-0.0,-0.0,-0.0,-0.0
32,5.0,-0.0,-0.0,-0.0,-0.0
33,6.0,-0.0,-0.0,-0.0,-0.0
34,7.0,-0.0,-0.0,-0.0,-0.0
35,8.0,-0.0,-0.0,-0.0,-0.0
36,9.0,-0.0,-0.0,-0.0,-0.0
37,10.0,-0.0,-0.0,-0.0,-0.0
38,11.0,-0.0,-0.0,-0.0,-0.0
39,12.0,-0.0,-0.0,-0.0,-0.0
40,13.0,-0.0,-0.0,-0.0,-0.0
41,14.0,-0.0,-0.0,-0.0,-0.0
42,15.0,-0.0,-0.0,-0.0,-0.0
43,16.0,-0.0,-0.0,-0.0,-0.0
44,17.0,-0.0,-0.0,-0.0,-0.0
45,18.0,-0.0,-0.0,-0.0,-0.0
46,19.0,-0.0,-0.0,-0.0,-0.0
47,20.0,-0.0,-0.0,-0.0,-0.0
48,21.0,-0.0,-0.0,-0.0,-0.0
49,22.0,-0.0,-0.0,-0.0,-0.0
50,23.0,-0.0,-0.0,-0.0,-0.0
51,24.0,-0.0,-0.0,-0.0,-0.0
52,25.0,-0.0,-0.0,-0.0,-0.0
53,26.0,-0.0,-0.0,-0.0,-0.0
54,27.0,-0.0,-0.0,-0.0,-0.0
55,28.0,-0.0,-0.0,-0.0,-0.0
56,1.0,-0.0,-0.0,-0.0,-0.0
57,2.0,-0.0,-0.0,-0.0,-0.0
58,3.0,-0.0,-0.0,-0.0,-0.0
59,4.0,-0.0,-0.0,-0.0,-0.0
60,5.0,-0.0,-0.0,-0.0,-0.0
61,6.0,-0.0,-0.0,-0.0,-0.0
62,7.0,-0.0,-0.0,-0.0,-0.0
63,8.0,-0.0,-0.0,-0.0,-0.0
64,9.0,-0.0,-0.0,-0.0,-0.0
65,10.0,-0.0,-0.0,-0.0,-0.0
66,11.0,-0.0,-0.0,-0.0,-0.0
67,12.0,-0.0,-0.0,-0.0,-0.0
68,13.0,-0.0,-0.0,-0.0,-0.0
69,14.0,-0.0,-0.0,-0.0,-0.0
70,15.0,-0.0,-0.0,-0.0,-0.0
71,16.0,-0.0,-0.0,-0.0,-0.0
72,17.0,-0.0,-0.0,-0.0,-0.0
73,18.0,-0.0,-0.0,-0.0,-0.0
74,19.0,-0.0,-0.0,-0.0,-0.0
75,20.0,-0.0,-0.0,-0.0,-0.0
76,21.0,-0.0,-0.0,-0.0,-0.0
77,22.0,-0.0,-0.0,-0.0,-0.0
78,23.0,-0.0,-0.0,-0.0,-0.0
79,24.0,-0.0,-0.0,-0.0,-0.0
80,25.0,-0.0,-0.0,-0.0,-0.0
81,26.0,-0.0,-0.0,-0.0,-0.0
82,27.0,-0.0,-0.0,-0.0,-0.0
83,28.0,-0.0,-0.0,-0.0,-0.0
84,1.0,-0.0,-0.0,-0.0,-0.0
85,2.0,-0.0,-0.0,-0.0,-0.0
86,3.0,-0.0,-0.0,-0.0,-0.0
87,4.0,-0.0,-0.0,-0.0,-0.0
88,5.0,-0.0,-0.0,-0.0,-0.0
89,6.0,-0.0,-0.0,-0.0,-0.0
90,7.0,-0.0,-0.0,-0.0,-0.0
91,8.0,-0.0,-0.0,-0.0,-0.0
92,9.0,-0.0,-0.0,-0.0,-0.0
93,10.0,-0.0,-0.0,-0.0,-0.0
94,11.0,-0.0,-0.0,-0.0,-0.0
95,12.0,-0.0,-0.0,-0.0,-0.0
96,13.0,-0.0,-0.0,-0.0,-0.0
97,14.0,-0.0,-0.0,-0.0,-0.0
98,15.0,-0.0,-0.0,-0.0,-0.0
99,16.0,-0.0,-0.0,-0.0,-0.0
100,17.0,-0.0,-0.0,-0.0,-0.0
101,18.0,-0.0,-0.0,-0.0,-0.0
102,19.0,-0.0,-0.0,-0.0,-0.0
103,20.0,-0.0,-0.0,-0.0,-0.0
104,21.0,-0.0,-0.0,-0.0,-0.0
105,22.0,-0.0,-0.0,-0.0,-0.0
106,23.0,-0.0,-0.0,-0.0,-0.0
107,24.0,-0.0,-0.0,-0.0,-0.0
108,25.0,-0.0,-0.0,-0.0,-0.0
109,26.0,-0.0,-0.0,-0.0,-0.0
110,27.0,-0.0,-0.0,-0.0,-0.0
111,28.0,-0.0,-0.0,-0.0,-0.0
112,1.0,-0.0,-0.0,-0.0,-0.0
113,2.0,-0.0,-0.0,-0.0,-0.0
114,3.0,-0.0,-0.0,-0.0,-0.0
115,4.0,-0.0,-0.0,-0.0,-0.0
116,5.0,-0.0,-0.0,-0.0,-0.0
117,6.0,-0.0,-0.0,-0.0,-0.0
118,7.0,-0.0,-0.0,-0.0,-0.0
119,8.0,-0.0,-0.0,-0.0,-0.0
120,9.0,-0.0,-0.0,-0.0,-0.0
121,10.0,-0.0,-0.0,-0.0,-0.0
122,11.0,-0.0,-0.0,-0.0,-0.0
123,12.0,-0.0,-0.0,-0.0,-0.0
124,13.0,-0.0,-0.0,-0.0,-0.0
125,14.0,-0.0,-0.0,-0.0,-0.0
126,15.0,-0.0,-0.0,-0.0,-0.0
127,16.0,-0.0,-0.0,-0.0,-0.0
128,17.0,-0.0,-0.0,-0.0,-0.0
129,18.0,-0.0,-0.0,-0.0,-0.0
130,19.0,-0.0,-0.0,-0.0,-0.0
131,20.0,-0.0,-0.0,-0.0,-0.0
132,21.0,-0.0,-0.0,-0.0,-0.0
133,22.0,-0.0,-0.0,-0.0,-0.0
134,23.0,-0.0,-0.0,-0.0,-0.0
135,24.0,-0.0,-0.0,-0.0,-0.0
136,25.0,-0.0,-0.0,-0.0,-0.0
137,26.0,-0.0,-0.0,-0.0,-0.0
138,27.0,-0.0,-0.0,-0.0,-0.0
139,28.0,-0.0,-0.0,-0.0,-0.0
140,1.0,-0.0,-0.0,-0.0,-0.0
141,2.0,-0.0,-0.0,-0.0,-0.0
142,3.0,-0.0,-0.0,-0.0,-0.0
143,4.0,-0.0,-0.0,-0.0,-0.0
144,5.0,-0.0,-0.0,-0.0,-0.0
145,6.0,-0.0,-0.0,-0.0,-0.0
146,7.0,-0.0,-0.0,-0.0,-0.0
147,8.0,-0.0,-0.0,-0.0,-0.0
148,9.0,-0.0,-0.0,-0.0,-0.0
149,10.0,-0.0,-0.0,-0.0,-0.0
150,11.0,-0.0,-0.0,-0.0,-0.0
151,12.0,-0.0,-0.0,-0.0,-0.0
152,13.0,-0.0,-0.0,-0.0,-0.0
153,14.0,-0.0,-0.0,-0.0,-0.0
154,15.0,-0.0,-0.0,-0.0,-0.0
155,16.0,-0.0,-0.0,-0.0,-0.0
156,17.0,-0.0,-0.0,-0.0,-0.0
157,18.0,-0.0,-0.0,-0.0,-0.0
158,19.0,-0.0,-0.0,-0.0,-0.0
159,20.0,-0.0,-0.0,-0.0,-0.0
160,21.0,-0.0,-0.0,-0.0,-0.0
161,22.0,-0.0,-0.0,-0.0,-0.0
162,23.0,-0.0,-0.0,-0.0,-0.0
163,24.0,-0.0,-0.0,-0.0,-0.0
164,25.0,-0.0,-0.0,-0.0,-0.0
165,26.0,-0.0,-0.0,-0.0,-0.0
166,27.0,-0.0,-0.0,-0.0,-0.0
167,28.0,-0.0,-0.0,-0.0,-0.0
168,1.0,-0.0,-0.0,-0.0,-0.0
169,2.0,-0.0,-0.0,-0.0,-0.0
170,3.0,-0.0,-0.0,-0.0,-0.0
171,4.0,-0.0,-0.0,-0.0,-0.0
172,5.0,-0.0,-0.0,-0.0,-0.0
173,6.0,-0.0,-0.0,-0.0,-0.0
174,7.0,-0.0,-0.0,-0.0,-0.0
175,8.0,-0.0,-0.0,-0.0,-0.0
176,9.0,-0.0,-0.0,-0.0,-0.0
177,10.0,-0.0,-0.0,-0.0,-0.0
178,11.0,-0.0,-0.0,-0.0,-0.0
179,12.0,-0.0,-0.0,-0.0,-0.0
180,13.0,-0.0,-0.0,-0.0,-0.0
181,14.0,-0.0,-0.0,-0.0,-0.0
182,15.0,-0.0,-0.0,-0.0,-0.0
183,16.0,-0.0,-0.0,-0.0,-0.0
184,17.0,-0.0,-0.0,-0.0,-0.0
185,18.0,-0.0,-0.0,-0.0,-0.0
186,19.0,-0.0,-0.0,-0.0,-0.0
187,20.0,-0.0,-0.0,-0.0,-0.0
188,21.0,-0.0,-0.0,-0.0,-0.0
189,22.0,-0.0,-0.0,-0.0,-0.0
190,23.0,-0.0,-0.0,-0.0,-0.0
191,24.0,-0.0,-0.0,-0.0,-0.0
192,25.0,-0.0,-0.0,-0.0,-0.0
193,26.0,-0.0,-0.0,-0.0,-0.0
194,27.0,-0.0,-0.0,-0.0,-0.0
195,28.0,-0.0,-0.0,-0.0,-0.0
196,1.0,-0.0,-0.0,-0.0,-0.0
197,2.0,-0.0,-0.0,-0.0,-0.0
198,3.0,-0.0,-0.0,-0.0,-0.0
199,4.0,-0.0,-0.0,-0.0,-0.0
200,5.0,-0.0,-0.0,-0.0,-0.0
201,6.0,-0.0,-0.0,-0.0,-0.0
202,7.0,-0.0,-0.0,-0.0,-0.0
203,8.0,-0.0,-0.0,-0.0,-0.0
204,9.0,-0.0,-0.0,-0.0,-0.0
205,10.0,-0.0,-0.0,-0.0,-0.0
206,11.0,-0.0,-0.0,-0.0,-0.0
207,12.0,-0.0,-0.0,-0.0,-0.0
208,13.0,-0.0,-0.0,-0.0,-0.0
209,14.0,-0.0,-0.0,-0.0,-0.0
210,15.0,-0.0,-0.0,-0.0,-0.0
211,16.0,-0.0,-0.0,-0.0,-0.0
212,17.0,-0.0,-0.0,-0.0,-0.0
213,18.0,-0.0,-0.0,-0.0,-0.0
214,19.0,-0.0,-0.0,-0.0,-0.0
215,20.0,-0.0,-0.0,-0.0,-0.0
216,21.0,-0.0,-0.0,-0.0,-0.0
217,22.0,-0.0,-0.0,-0.0,-0.0
218,23.0,-0.0,-0.0,-0.0,-0.0
219,24.0,-0.0,-0.0,-0.0,-0.0
220,25.0,-0.0,-0.0,-0.0,-0.0
221,26.0,-0.0,-0.0,-0.0,-0.0
222,27.0,-0.0,-0.0,-0.0,-0.0
223,28.0,-0.0,-0.0,-0.0,-0.0
224,1.0,-0.0,-0.0,-0.0,-0.0
225,2.0,-0.0,-0.0,-0.0,-0.0
226,3.0,-0.0,-0.0,-0.0,-0.0
227,4.0,-0.0,-0.0,-0.0,-0.0
228,5.0,-0.0,-0.0,-0.0,-0.0
229,6.0,-0.0,-0.0,-0.0,-0.0
230,7.0,-0.0,-0.0,-0.0,-0.0
231,8.0,-0.0,-0.0,-0.0,-0.0
232,9.0,-0.0,-0.0,-0.0,-0.0
233,10.0,-0.0,-0.0,-0.0,-0.0
234,11.0,-0.0,-0.0,-0.0,-0.0
235,12.0,-0.0,-0.0,-0.0,-0.0
236,13.0,-0.0,-0.0,-0.0,-0.0
237,14.0,-0.0,-0.0,-0.0,-0.0
