DAS,ET0_2019
61.5833333,1.7592
61.625,1.536
61.6666667,0.7464
61.7083333,0.6408
61.75,0.5016
61.7916667,0.2784
61.8333333,0.12
61.875,0.0576
61.9166667,0.036
61.9583333,0.0552
62,0
62.0416667,0
62.0833333,0
62.125,0
62.1666667,0
62.2083333,0.0696
62.25,0.3696
62.2916667,0.72
62.3333333,1.0104
62.375,1.2504
62.4166667,1.5168
62.4583333,1.7328
62.5,1.8816
62.5416667,1.9008
62.5833333,1.6776
62.625,1.6248
62.6666667,0.8232
62.7083333,0.66
62.75,0.4872
62.7916667,0.252
62.8333333,0.1224
62.875,0.0432
62.9166667,0.0072
62.9583333,0.0288
63,0.0336
63.0416667,0.0624
63.0833333,0.0432
63.125,0.0888
63.1666667,0.0864
63.2083333,0.1896
63.25,0.432
63.2916667,0.8448
63.3333333,1.1208
63.375,1.4112
63.4166667,1.6368
63.4583333,1.7784
63.5,1.764
63.5416667,1.8432
63.5833333,1.8216
63.625,1.4088
63.6666667,0.6888
63.7083333,0.612
63.75,0.5184
63.7916667,0.3936
63.8333333,0.3072
63.875,0.2376
63.9166667,0.1896
63.9583333,0.1224
64,0.1128
64.0416667,0.0912
64.0833333,0.024
64.125,0
64.1666667,0
64.2083333,0.1128
64.25,0.3408
64.2916667,0.6264
64.3333333,0.8856
64.375,1.1448
64.4166667,1.3656
64.4583333,1.5912
64.5,1.7448
64.5416667,1.728
64.5833333,1.6344
64.625,1.5264
64.6666667,0.612
64.7083333,0.528
64.75,0.42
64.7916667,0.2832
64.8333333,0.1824
64.875,0.1272
64.9166667,0.0864
64.9583333,0.0528
65,0.0216
65.0416667,0
65.0833333,0
65.125,0
65.1666667,0
65.2083333,0.1032
65.25,0.1848
65.2916667,0.2568
65.3333333,0.4248
65.375,0.7056
65.4166667,1.1352
65.4583333,1.3224
65.5,1.4184
65.5416667,1.4328
65.5833333,1.3728
65.625,1.2792
65.6666667,0.5592
65.7083333,0.4728
65.75,0.36
65.7916667,0.2256
65.8333333,0.1032
65.875,0.0576
65.9166667,0.036
65.9583333,0.0384
66,0.0336
66.0416667,0
66.0833333,0.0432
66.125,0
66.1666667,0
66.2083333,0.0672
66.25,0.3288
66.2916667,0.6432
66.3333333,0.948
66.375,1.2048
66.4166667,1.38
66.4583333,1.5552
66.5,1.6824
66.5416667,1.6896
66.5833333,1.5768
66.625,1.4208
66.6666667,0.7152
66.7083333,0.5808
66.75,0.4464
66.7916667,0.2472
66.8333333,0.0576
66.875,0.0504
66.9166667,0.036
66.9583333,0
67,0
67.0416667,0
67.0833333,0
67.125,0
67.1666667,0
67.2083333,0.0936
67.25,0.3984
67.2916667,0.8592
67.3333333,1.2816
67.375,1.6824
67.4166667,1.8504
67.4583333,2.0832
67.5,2.1504
67.5416667,2.208
67.5833333,2.1192
67.625,1.884
67.6666667,0.9072
67.7083333,0.7464
67.75,0.552
67.7916667,0.2712
67.8333333,0.1008
67.875,0.1608
67.9166667,0.2424
67.9583333,0.1728
68,0.1152
68.0416667,0.132
68.0833333,0
68.125,0
68.1666667,0.0024
68.2083333,0.2184
68.25,0.3936
68.2916667,0.3576
68.3333333,0.3336
68.375,0.4176
68.4166667,0.756
68.4583333,1.3632
68.5,1.44
68.5416667,1.6656
68.5833333,1.5648
68.625,1.5144
68.6666667,0.6696
68.7083333,0.4416
68.75,0.4272
68.7916667,0.2688
68.8333333,0.2232
68.875,0.1536
68.9166667,0.1824
68.9583333,0.1488
69,0.1152
69.0416667,0.0312
69.0833333,0.0888
69.125,0
69.1666667,0
69.2083333,0.1296
69.25,0.384
69.2916667,0.6528
69.3333333,0.8808
69.375,0.6792
69.4166667,0.5616
69.4583333,0.7032
69.5,0.9552
69.5416667,0.8832
69.5833333,1.2
69.625,1.1448
69.6666667,0.492
69.7083333,0.4344
69.75,0.3552
69.7916667,0.264
69.8333333,0.1368
69.875,0.0552
69.9166667,0.0528
69.9583333,0.0456
70,0.0048
70.0416667,0
70.0833333,0
70.125,0
70.1666667,0
70.2083333,0.0576
70.25,0.2424
70.2916667,0.5856
70.3333333,0.7296
70.375,0.8448
70.4166667,1.008
70.4583333,1.1976
70.5,1.14
70.5416667,1.0392
70.5833333,1.056
70.625,0.9648
70.6666667,0.432
70.7083333,0.3936
70.75,0.2928
70.7916667,0.2496
70.8333333,0.1392
70.875,0.1152
70.9166667,0.0552
70.9583333,0.0432
71,0.0384
71.0416667,0.0192
71.0833333,0.0624
71.125,0
71.1666667,0
71.2083333,0.0744
71.25,0.2928
71.2916667,0.5376
71.3333333,0.7272
71.375,0.9192
71.4166667,1.1376
71.4583333,1.3224
71.5,1.4112
71.5416667,1.404
71.5833333,1.38
71.625,1.236
71.6666667,0.5352
71.7083333,0.4416
71.75,0.3264
71.7916667,0.228
71.8333333,0.132
71.875,0.072
71.9166667,0.0264
71.9583333,0.0264
72,0.072
72.0416667,0.0792
72.0833333,0
72.125,0
72.1666667,0.0168
72.2083333,0.096
72.25,0.2088
72.2916667,0.3648
72.3333333,0.3912
72.375,0.6864
72.4166667,0.9528
72.4583333,1.1232
72.5,1.2336
72.5416667,1.2864
72.5833333,1.3344
72.625,1.152
72.6666667,0.4176
72.7083333,0.384
72.75,0.312
72.7916667,0.24
72.8333333,0.1344
72.875,0.0696
72.9166667,0.0528
72.9583333,0
73,0
73.0416667,0
73.0833333,0
73.125,0
73.1666667,0
73.2083333,0.048
73.25,0.3456
73.2916667,0.6696
73.3333333,1.0296
73.375,1.2936
73.4166667,1.3896
73.4583333,1.4496
73.5,1.56
73.5416667,1.6416
73.5833333,1.2528
73.625,1.0896
73.6666667,0.4512
73.7083333,0.3456
73.75,0.2808
73.7916667,0.2808
73.8333333,0.1224
73.875,0.036
73.9166667,0.0192
73.9583333,0.0216
74,0.0144
74.0416667,0
74.0833333,0
74.125,0
74.1666667,0
74.2083333,0.0216
74.25,0.2376
74.2916667,0.6144
74.3333333,0.5856
74.375,0.6864
74.4166667,0.7536
74.4583333,0.8256
74.5,0.7824
74.5416667,0.9936
74.5833333,0.7344
74.625,0.7608
74.6666667,0.324
74.7083333,0.2616
74.75,0.252
74.7916667,0.204
74.8333333,0.1728
74.875,0.1272
74.9166667,0.0432
74.9583333,0.0576
75,0.0864
75.0416667,0.06
75.0833333,0
75.125,0
75.1666667,0
75.2083333,0.0792
75.25,0.3552
75.2916667,0.6144
75.3333333,0.7056
75.375,0.5184
75.4166667,0.5736
75.4583333,0.7776
75.5,0.5352
75.5416667,0.8928
75.5833333,1.1424
75.625,0.8544
75.6666667,0.2808
75.7083333,0.228
75.75,0.1656
75.7916667,0.1224
75.8333333,0.0744
75.875,0.0696
75.9166667,0.0408
75.9583333,0.0216
76,0.012
76.0416667,0
76.0833333,0
76.125,0
76.1666667,0
76.2083333,0.036
76.25,0.1608
76.2916667,0.2976
76.3333333,0.3696
76.375,0.4152
76.4166667,0.4392
76.4583333,0.5184
76.5,0.4944
76.5416667,0.4752
76.5833333,0.6864
76.625,0.612
76.6666667,0.252
76.7083333,0.2448
76.75,0.1752
76.7916667,0.144
76.8333333,0.096
76.875,0.036
76.9166667,0.0192
76.9583333,0
77,0
77.0416667,0
77.0833333,0.0432
77.125,0.0432
77.1666667,0
77.2083333,0.0264
77.25,0.2256
77.2916667,0.3888
77.3333333,0.3912
77.375,0.7008
77.4166667,1.1616
77.4583333,1.2936
77.5,1.3608
77.5416667,1.3728
77.5833333,1.2336
77.625,1.1088
77.6666667,0.3912
77.7083333,0.3384
77.75,0.2616
77.7916667,0.2088
77.8333333,0.1128
77.875,0.0864
77.9166667,0.0528
77.9583333,0.0264
78,0.0216
78.0416667,0.0048
78.0833333,0.0864
78.125,0.1056
78.1666667,0
78.2083333,0.0624
78.25,0.1512
78.2916667,0.2232
78.3333333,0.3624
78.375,0.6768
78.4166667,0.8808
78.4583333,0.816
78.5,0.9672
78.5416667,0.5352
78.5833333,0.4656
78.625,0.4056
78.6666667,0.2448
78.7083333,0.1776
78.75,0.1296
78.7916667,0.084
78.8333333,0.0096
78.875,0
78.9166667,0
78.9583333,0
79,0
79.0416667,0
79.0833333,0
79.125,0
79.1666667,0
79.2083333,0.0192
79.25,0.1344
79.2916667,0.3768
79.3333333,0.672
79.375,0.8232
79.4166667,1.032
79.4583333,1.02
79.5,1.2744
79.5416667,0.8592
79.5833333,1.0632
79.625,0.5592
79.6666667,0.2112
79.7083333,0.1632
79.75,0.1128
79.7916667,0.0624
79.8333333,0.036
79.875,0
79.9166667,0
79.9583333,0
80,0
80.0416667,0
80.0833333,0
80.125,0
80.1666667,0
80.2083333,0.0504
80.25,0.2784
80.2916667,0.4704
80.3333333,0.4728
80.375,0.4872
80.4166667,0.2952
80.4583333,0.3984
80.5,0.6072
80.5416667,0.912
80.5833333,0.9264
80.625,1.1472
80.6666667,0.336
80.7083333,0.1896
80.75,0.1656
80.7916667,0.156
80.8333333,0.0744
80.875,0.0312
80.9166667,0.012
80.9583333,0.012
81,0.0144
81.0416667,0.0216
81.0833333,0
81.125,0
81.1666667,0
81.2083333,0.0888
81.25,0.1344
81.2916667,0.2184
81.3333333,0.2376
81.375,0.2736
81.4166667,0.4512
81.4583333,0.5232
81.5,0.5664
81.5416667,0.5184
81.5833333,0.4752
81.625,0.4464
81.6666667,0.1968
81.7083333,0.1848
81.75,0.156
81.7916667,0.1248
81.8333333,0.0864
81.875,0.06
81.9166667,0.0408
81.9583333,0.0384
82,0.0264
82.0416667,0.0072
82.0833333,0
82.125,0
82.1666667,0
82.2083333,0.0504
82.25,0.132
82.2916667,0.2088
82.3333333,0.3024
82.375,0.3744
82.4166667,0.3552
82.4583333,0.4776
82.5,0.5592
82.5416667,0.5736
82.5833333,0.7848
82.625,0.8496
82.6666667,0.276
82.7083333,0.1944
82.75,0.1608
82.7916667,0.1224
82.8333333,0.0936
82.875,0.0912
82.9166667,0.0864
82.9583333,0.048
83,0.0528
83.0416667,0.0648
83.0833333,0.0072
83.125,0
83.1666667,0
83.2083333,0.0816
83.25,0.1392
83.2916667,0.144
83.3333333,0.3384
83.375,0.408
83.4166667,0.5208
83.4583333,0.6528
83.5,0.8688
83.5416667,0.9864
83.5833333,1.0296
83.625,0.7248
83.6666667,0.3336
83.7083333,0.2664
83.75,0.1752
83.7916667,0.1368
83.8333333,0.0864
83.875,0.0312
83.9166667,0
83.9583333,0
84,0
84.0416667,0
84.0833333,0
84.125,0
84.1666667,0
84.2083333,0.0264
84.25,0.108
84.2916667,0.2112
84.3333333,0.252
84.375,0.468
84.4166667,0.6216
84.4583333,0.9864
84.5,0.9744
84.5416667,1.116
84.5833333,1.0872
84.625,1.0488
84.6666667,0.468
84.7083333,0.3768
84.75,0.276
84.7916667,0.1632
84.8333333,0.0816
84.875,0.0744
84.9166667,0.0672
84.9583333,0.0024
85,0
85.0416667,0
85.0833333,0.0432
85.125,0
85.1666667,0
85.2083333,0
85.25,0.2136
85.2916667,0.504
85.3333333,0.804
85.375,1.1232
85.4166667,1.3416
85.4583333,1.4928
85.5,1.7064
85.5416667,1.3056
85.5833333,1.1808
85.625,1.2672
85.6666667,0.6552
85.7083333,0.4992
85.75,0.3384
85.7916667,0.2232
85.8333333,0.0672
85.875,0.036
85.9166667,0
85.9583333,0.0168
86,0.0096
86.0416667,0.0312
86.0833333,0
86.125,0
86.1666667,0.0336
86.2083333,0.12
86.25,0.1416
86.2916667,0.2568
86.3333333,0.5136
86.375,0.5112
86.4166667,0.408
86.4583333,0.4752
86.5,0.6456
86.5416667,0.7176
86.5833333,0.36
86.625,0.564
86.6666667,0.408
86.7083333,0.372
86.75,0.2496
86.7916667,0.1896
86.8333333,0.1128
86.875,0.0768
86.9166667,0.036
86.9583333,0.0096
87,0
87.0416667,0
87.0833333,0
87.125,0
87.1666667,0
87.2083333,0
87.25,0.2424
87.2916667,0.5208
87.3333333,0.7848
87.375,1.1664
87.4166667,1.4472
87.4583333,1.5888
87.5,1.7496
87.5416667,1.6464
87.5833333,1.2552
87.625,0.9672
87.6666667,0.5568
87.7083333,0.5328
87.75,0.3408
87.7916667,0.1656
87.8333333,0.0624
87.875,0.0672
87.9166667,0.0144
87.9583333,0
88,0.012
88.0416667,0
88.0833333,0
88.125,0
88.1666667,0
88.2083333,0
88.25,0.1944
88.2916667,0.324
88.3333333,0.6216
88.375,0.888
88.4166667,1.188
88.4583333,1.308
88.5,1.464
88.5416667,1.6344
88.5833333,1.6176
88.625,1.4856
88.6666667,0.6264
88.7083333,0.4488
88.75,0.3936
88.7916667,0.1728
88.8333333,0.0936
88.875,0.0528
88.9166667,0.0216
88.9583333,0.012
89,0.0216
89.0416667,0.0168
89.0833333,0.072
89.125,0.0456
89.1666667,0
89.2083333,0.0264
89.25,0.1944
89.2916667,0.4368
89.3333333,0.7728
89.375,0.9168
89.4166667,1.056
89.4583333,1.2504
89.5,1.1784
89.5416667,1.2336
89.5833333,1.092
89.625,1.1472
89.6666667,0.444
89.7083333,0.4104
89.75,0.2592
89.7916667,0.2064
89.8333333,0.1128
89.875,0.0336
89.9166667,0.0024
89.9583333,0.0072
90,0
90.0416667,0
90.0833333,0
90.125,0
90.1666667,0
90.2083333,0.0552
90.25,0.2832
90.2916667,0.6
90.3333333,0.8784
90.375,1.1376
90.4166667,1.368
90.4583333,1.548
90.5,1.6344
90.5416667,1.6488
90.5833333,1.5456
90.625,1.4616
90.6666667,0.72
90.7083333,0.5808
90.75,0.36
90.7916667,0.1968
90.8333333,0.0768
90.875,0.0264
90.9166667,0.048
90.9583333,0.0696
91,0.0048
91.0416667,0.012
91.0833333,0.0792
91.125,0.0672
91.1666667,0
91.2083333,0.0024
91.25,0.2688
91.2916667,0.5832
91.3333333,0.9312
91.375,1.236
91.4166667,1.464
91.4583333,1.716
91.5,1.7496
91.5416667,1.7088
91.5833333,1.644
91.625,1.476
91.6666667,0.732
91.7083333,0.5928
91.75,0.4464
91.7916667,0.2448
91.8333333,0.2232
91.875,0.1536
91.9166667,0.0504
91.9583333,0.0912
92,0.0696
92.0416667,0.0552
92.0833333,0.1392
92.125,0.0696
92.1666667,0
92.2083333,0.0408
92.25,0.2928
92.2916667,0.5832
92.3333333,0.9216
92.375,1.2936
92.4166667,1.6032
92.4583333,1.752
92.5,1.8264
92.5416667,1.8192
92.5833333,1.7952
92.625,1.3152
92.6666667,0.8376
92.7083333,0.6816
92.75,0.528
92.7916667,0.2784
92.8333333,0.1608
92.875,0.1272
92.9166667,0.1536
92.9583333,0.12
93,0.048
93.0416667,0.0672
93.0833333,0.1392
93.125,0.12
93.1666667,0
93.2083333,0.0576
93.25,0.2904
93.2916667,0.5544
93.3333333,0.7296
93.375,1.1568
93.4166667,1.3632
93.4583333,1.6344
93.5,1.7352
93.5416667,1.7496
93.5833333,1.7088
93.625,1.5648
93.6666667,0.7224
93.7083333,0.6312
93.75,0.4944
93.7916667,0.2952
93.8333333,0.1776
93.875,0.12
93.9166667,0.1152
93.9583333,0.1152
94,0.0888
94.0416667,0.0816
94.0833333,0.1464
94.125,0.1464
94.1666667,0
94.2083333,0.084
94.25,0.336
94.2916667,0.6288
94.3333333,0.9384
94.375,1.2576
94.4166667,1.5456
94.4583333,1.704
94.5,1.7808
94.5416667,1.7496
94.5833333,1.4928
94.625,1.4208
94.6666667,0.6336
94.7083333,0.5376
94.75,0.4296
94.7916667,0.288
94.8333333,0.2304
94.875,0.2112
94.9166667,0.2184
94.9583333,0.216
95,0.1392
95.0416667,0.084
95.0833333,0.1608
95.125,0.1248
95.1666667,0
95.2083333,0.0336
95.25,0.2472
95.2916667,0.5136
95.3333333,0.7824
95.375,1.0896
95.4166667,1.1472
95.4583333,1.2624
95.5,1.644
95.5416667,1.6824
95.5833333,1.4904
95.625,1.1616
95.6666667,0.6048
95.7083333,0.5136
95.75,0.36
95.7916667,0.1704
95.8333333,0.0336
95.875,0.0888
95.9166667,0.0096
95.9583333,0
96,0.0384
96.0416667,0.0336
96.0833333,0.0936
96.125,0.0984
96.1666667,0
96.2083333,0
96.25,0.2136
96.2916667,0.4752
96.3333333,0.6288
96.375,0.7248
96.4166667,0.8016
96.4583333,0.9648
96.5,1.1928
96.5416667,1.0608
96.5833333,1.0968
96.625,0.9624
96.6666667,0.3528
96.7083333,0.3552
96.75,0.252
96.7916667,0.1272
96.8333333,0.0384
96.875,0.0024
96.9166667,0
96.9583333,0
97,0
97.0416667,0
97.0833333,0.0456
97.125,0.0456
97.1666667,0
97.2083333,0
97.25,0.1152
97.2916667,0.4224
97.3333333,0.588
97.375,0.7416
97.4166667,0.9888
97.4583333,1.02
97.5,0.6312
97.5416667,0.504
97.5833333,0.78
97.625,0.792
97.6666667,0.2952
97.7083333,0.276
97.75,0.1872
97.7916667,0.2064
97.8333333,0.0816
97.875,0.0312
97.9166667,0.06
97.9583333,0
98,0
98.0416667,0
98.0833333,0
98.125,0
98.1666667,0
98.2083333,0.06
98.25,0.12
98.2916667,0.2256
98.3333333,0.1104
98.375,0.3648
98.4166667,0.2784
98.4583333,0.5136
98.5,0.8088
98.5416667,0.948
98.5833333,0.5568
98.625,0.2808
98.6666667,0.2544
98.7083333,0.2208
98.75,0.0576
98.7916667,0.0264
98.8333333,0
98.875,0
98.9166667,0
98.9583333,0
99,0
99.0416667,0.0168
99.0833333,0
99.125,0.06
99.1666667,0
99.2083333,0
99.25,0.1464
99.2916667,0.42
99.3333333,0.7272
99.375,0.9912
99.4166667,1.236
99.4583333,1.0464
99.5,0.9408
99.5416667,0.9264
99.5833333,0.9672
99.625,0.7896
99.6666667,0.3336
99.7083333,0.4248
99.75,0.2424
99.7916667,0.144
99.8333333,0.0672
99.875,0.0144
99.9166667,0
99.9583333,0
100,0
100.041667,0
100.083333,0
100.125,0
100.166667,0
100.208333,0
100.25,0.1272
100.291667,0.3312
100.333333,0.3768
100.375,0.3888
100.416667,0.528
100.458333,1.0272
100.5,1.3488
100.541667,1.3608
100.583333,1.188
100.625,0.5112
100.666667,0.42
100.708333,0.3504
100.75,0.264
100.791667,0.1128
100.833333,0.0912
100.875,0.036
100.916667,0.0072
100.958333,0
101,0.0048
101.041667,0
101.083333,0
101.125,0.0528
101.166667,0
101.208333,0
101.25,0.1128
101.291667,0.348
101.333333,0.6984
101.375,0.9792
101.416667,1.116
101.458333,1.2888
101.5,1.296
101.541667,1.0224
101.583333,0.5328
101.625,0.2328
101.666667,0.2952
101.708333,0.132
101.75,0.1104
101.791667,0.0384
101.833333,0.012
101.875,0
101.916667,0
101.958333,0.0048
102,0
102.041667,0
102.083333,0
102.125,0
102.166667,0
102.208333,0
102.25,0.132
102.291667,0.4104
102.333333,0.624
102.375,0.78
102.416667,0.78
102.458333,0.9408
102.5,1.4088
102.541667,1.1664
102.583333,1.1328
102.625,0.5376
102.666667,0.492
102.708333,0.408
102.75,0.312
102.791667,0.1824
102.833333,0.1296
102.875,0.0504
102.916667,0.012
102.958333,0
103,0
103.041667,0
103.083333,0
103.125,0
103.166667,0
103.208333,0
103.25,0.0936
103.291667,0.2112
103.333333,0.4752
103.375,0.4104
103.416667,0.4032
103.458333,0.3528
103.5,0.6144
103.541667,0.7296
103.583333,1.0944
103.625,0.4008
103.666667,0.408
103.708333,0.3384
103.75,0.2616
103.791667,0.1488
103.833333,0.0816
103.875,0.0744
103.916667,0.0528
103.958333,0.024
104,0.0192
104.041667,0.0024
104.083333,0
104.125,0
104.166667,0
104.208333,0
104.25,0.1584
104.291667,0.4104
104.333333,0.7008
104.375,1.1808
104.416667,1.3824
104.458333,1.3872
104.5,1.2072
104.541667,1.08
104.583333,0.9936
104.625,0.4512
104.666667,0.4176
104.708333,0.312
104.75,0.2208
104.791667,0.132
104.833333,0.084
104.875,0.0528
104.916667,0.012
104.958333,0
105,0
105.041667,0.0024
105.083333,0
105.125,0
105.166667,0
105.208333,0
105.25,0.1392
105.291667,0.42
105.333333,0.4416
105.375,0.3384
105.416667,0.3216
105.458333,0.732
105.5,0.8904
105.541667,0.8568
105.583333,0.6312
105.625,0.2568
105.666667,0.2016
105.708333,0.168
105.75,0.1344
105.791667,0.0984
105.833333,0.0624
105.875,0.0504
105.916667,0.0336
105.958333,0.0216
106,0.0336
106.041667,0.0096
106.083333,0
106.125,0
106.166667,0
106.208333,0
106.25,0.1824
106.291667,0.492
106.333333,0.8064
106.375,0.9888
106.416667,1.2312
106.458333,1.2744
106.5,1.4376
106.541667,1.5936
106.583333,1.6008
106.625,0.6912
106.666667,0.6048
106.708333,0.4248
106.75,0.3816
106.791667,0.24
106.833333,0.1776
106.875,0.1152
106.916667,0.0744
106.958333,0.0576
107,0.0264
107.041667,0
107.083333,0
107.125,0
107.166667,0
107.208333,0
107.25,0.1008
107.291667,0.3816
107.333333,0.672
107.375,0.9624
107.416667,1.2072
107.458333,1.3536
107.5,1.2864
107.541667,1.4256
107.583333,1.0512
107.625,0.6312
107.666667,0.4152
107.708333,0.3216
107.75,0.2304
107.791667,0.1776
107.833333,0.072
107.875,0.012
107.916667,0
107.958333,0
108,0.0024
108.041667,0
108.083333,0
108.125,0
108.166667,0
108.208333,0
108.25,0.1392
108.291667,0.204
108.333333,0.2688
108.375,0.5808
108.416667,0.9984
108.458333,1.0248
108.5,1.0272
108.541667,1.0632
108.583333,1.176
108.625,0.4656
108.666667,0.4608
108.708333,0.3936
108.75,0.3408
108.791667,0.2352
108.833333,0.1848
108.875,0.1392
108.916667,0.1224
108.958333,0.0888
109,0.0912
109.041667,0.0624
109.083333,0.1248
109.125,0.1368
109.166667,0
109.208333,0.0288
109.25,0.1488
109.291667,0.4272
109.333333,0.9072
109.375,1.1952
109.416667,1.4328
109.458333,1.6176
109.5,1.7424
109.541667,1.9128
109.583333,1.7112
109.625,0.6984
109.666667,0.6408
109.708333,0.3768
109.75,0.1824
109.791667,0.1632
109.833333,0.204
109.875,0.1416
109.916667,0.096
109.958333,0.1584
110,0.1152
110.041667,0.0672
110.083333,0
110.125,0
110.166667,0
110.208333,0
110.25,0.1344
110.291667,0.3192
110.333333,0.66
110.375,0.972
110.416667,0.996
110.458333,0.7776
110.5,0.7608
110.541667,1.0728
110.583333,0.6624
110.625,0.2832
110.666667,0.3312
110.708333,0.3072
110.75,0.276
110.791667,0.1968
110.833333,0.1152
110.875,0.096
110.916667,0.144
110.958333,0.0744
111,0.0072
111.041667,0.0216
111.083333,0.06
111.125,0.0432
111.166667,0
111.208333,0
111.25,0.1176
111.291667,0.4032
111.333333,0.696
111.375,0.672
111.416667,1.1592
111.458333,1.2408
111.5,1.4736
111.541667,1.3728
111.583333,1.2288
111.625,0.504
111.666667,0.456
111.708333,0.3744
111.75,0.2376
111.791667,0.1272
111.833333,0.084
111.875,0.0816
111.916667,0
111.958333,0
112,0.012
112.041667,0.0072
112.083333,0
112.125,0
112.166667,0
112.208333,0
112.25,0.1224
112.291667,0.3864
112.333333,0.624
112.375,0.9552
112.416667,1.1784
112.458333,1.2312
112.5,1.1136
112.541667,1.38
112.583333,1.1016
112.625,0.5664
112.666667,0.4824
112.708333,0.384
112.75,0.2496
112.791667,0.1224
112.833333,0.0576
112.875,0.0192
112.916667,0.0024
112.958333,0.0072
113,0
113.041667,0
113.083333,0
113.125,0
113.166667,0
113.208333,0
113.25,0.1536
113.291667,0.2856
113.333333,0.48
113.375,0.5088
113.416667,0.5352
113.458333,0.3744
113.5,0.6384
113.541667,0.7608
113.583333,0.5448
113.625,0.2136
113.666667,0.3216
113.708333,0.2448
113.75,0.1776
113.791667,0.072
113.833333,0
113.875,0
113.916667,0
113.958333,0
114,0
114.041667,0
114.083333,0
114.125,0
114.166667,0
114.208333,0
114.25,0.144
114.291667,0.2232
114.333333,0.4008
114.375,0.876
114.416667,1.1496
114.458333,0.7392
114.5,1.032
114.541667,1.2456
114.583333,1.0464
114.625,0.4896
114.666667,0.396
114.708333,0.2616
114.75,0.1392
114.791667,0
114.833333,0.0024
114.875,0.0216
114.916667,0.0096
114.958333,0
115,0
115.041667,0.0192
115.083333,0
115.125,0
115.166667,0
115.208333,0
115.25,0.0864
115.291667,0.1728
115.333333,0.312
115.375,0.4536
115.416667,0.8208
115.458333,0.8808
115.5,1.1448
115.541667,1.02
115.583333,1.2312
115.625,0.492
115.666667,0.3432
115.708333,0.3048
115.75,0.2352
115.791667,0.144
115.833333,0.1272
115.875,0.1656
115.916667,0.144
115.958333,0.0888
116,0.0696
116.041667,0.0672
116.083333,0
116.125,0
116.166667,0
116.208333,0
116.25,0.0456
116.291667,0.096
116.333333,0.2064
116.375,0.1968
116.416667,0.6984
116.458333,0.9816
116.5,0.9192
116.541667,1.164
116.583333,1.5432
116.625,0.5424
116.666667,0.6096
116.708333,0.4752
116.75,0.3072
116.791667,0.2832
116.833333,0.0984
116.875,0.0384
116.916667,0.0144
116.958333,0
117,0
117.041667,0
117.083333,0
117.125,0
117.166667,0
117.208333,0
117.25,0.048
117.291667,0.1728
117.333333,0.4272
117.375,0.8808
117.416667,1.116
117.458333,1.4904
117.5,1.5024
117.541667,1.5408
117.583333,1.476
117.625,0.5976
117.666667,0.5688
117.708333,0.4176
117.75,0.2016
117.791667,0.0624
117.833333,0.0336
117.875,0.0168
117.916667,0
117.958333,0
118,0
118.041667,0.0168
118.083333,0.0696
118.125,0
118.166667,0
118.208333,0
118.25,0.024
118.291667,0.3312
118.333333,0.4968
118.375,0.7464
118.416667,0.8136
118.458333,0.6936
118.5,0.6816
118.541667,0.6432
118.583333,0.4728
118.625,0.1776
118.666667,0.1824
118.708333,0.12
118.75,0.024
118.791667,0.0168
118.833333,0.0432
118.875,0.0144
118.916667,0.0096
118.958333,0.0048
119,0
119.041667,0
119.083333,0.0888
119.125,0.0816
119.166667,0.0744
119.208333,0
119.25,0.0816
119.291667,0.3336
119.333333,0.6312
119.375,0.8976
119.416667,0.8808
119.458333,1.02
119.5,1.1616
119.541667,1.032
119.583333,0.9792
119.625,0.5952
119.666667,0.4944
119.708333,0.3384
119.75,0.2808
119.791667,0.1656
119.833333,0.1152
119.875,0.0672
119.916667,0.0264
119.958333,0.0072
120,0
120.041667,0.0024
120.083333,0
120.125,0.0456
120.166667,0.0408
120.208333,0
120.25,0.0552
120.291667,0.312
120.333333,0.6096
120.375,0.9192
120.416667,1.2192
120.458333,1.38
120.5,1.4424
120.541667,1.4352
120.583333,1.3032
120.625,0.6144
120.666667,0.5088
120.708333,0.3816
120.75,0.1944
120.791667,0.0288
120.833333,0.0024
120.875,0
120.916667,0
120.958333,0
121,0
121.041667,0
121.083333,0
121.125,0.0456
121.166667,0
121.208333,0
121.25,0.072
121.291667,0.3216
121.333333,0.6336
121.375,0.9528
121.416667,1.2144
121.458333,1.4064
121.5,1.4784
121.541667,1.4568
121.583333,1.3608
121.625,0.684
121.666667,0.564
121.708333,0.4416
121.75,0.2496
121.791667,0.1152
121.833333,0
121.875,0.036
121.916667,0.0024
121.958333,0.0024
122,0.0192
122.041667,0.0216
122.083333,0
122.125,0
122.166667,0
122.208333,0
122.25,0.0936
122.291667,0.3576
122.333333,0.624
122.375,0.9072
122.416667,1.1952
122.458333,1.4352
122.5,1.5456
122.541667,1.5
122.583333,1.4304
122.625,0.66
122.666667,0.552
122.708333,0.4464
122.75,0.2928
122.791667,0.1728
122.833333,0.1128
122.875,0.0888
122.916667,0.0624
122.958333,0.0384
123,0.024
123.041667,0.0288
123.083333,0
123.125,0
123.166667,0
123.208333,0
123.25,0.0624
123.291667,0.312
123.333333,0.5832
123.375,0.8592
123.416667,1.1064
123.458333,1.3152
123.5,1.4664
123.541667,1.5192
123.583333,1.368
123.625,0.6384
123.666667,0.456
123.708333,0.4104
123.75,0.1968
123.791667,0.1296
123.833333,0.1752
123.875,0.1344
123.916667,0.0672
123.958333,0.0168
124,0
124.041667,0
124.083333,0
124.125,0
124.166667,0
124.208333,0
124.25,0.0384
124.291667,0.2328
