beta_C,beta_O,"C_thres,C","C_thres,O",DS_W,"k_C,S","k_d,C","k_d,O",K_L,"k_O,S","k_r,C","k_r,O","m_max,C","m_max,O",p_L,JS_s,JL_l,r_a,r_b,ro_B,"u_max,C","u_max,O","v_max,L",Y,Y_C,Y_O,"q_wr,a",theta,CSS_max,k_sorp,CL_init,CS_init
0.000142584,0.097093777,0.258018417,0.153922619,0.558040265,86.17203209,2.39416388,0.204520468,0.059195838,272.7064158,8.134822379,0.283178191,0.006970277,0.000897594,0.309912977,0.004261354,0.011776872,0.030116196,4.040349187,1.555926011,0.122424391,0.011773072,0.710125398,0.081090961,0.055322085,0.44375173,0.680546597,0.296870236,0.053127092,0.249679629,7.00808114,0.019963143
0.005705193,0.416212341,0.055901649,0.055098705,1.157328678,9.695336296,8.931461912,0.022692172,0.1068292,332.2264455,15.2245025,0.023166427,0.012903884,0.000963435,0.243888948,0.002074843,0.036686148,0.001405921,1.892069643,1.223006874,2.121127002,0.010978214,0.278538147,0.085353411,0.080061265,0.499137244,0.009408568,0.303046208,0.076154658,0.24875772,10.01604481,0.006603429
0.035492184,0.060039132,0.130909598,0.126662122,0.385864527,29.78919602,0.54057069,0.013777747,0.000415145,235.983788,21.58840238,0.252573467,0.057147418,0.002407246,0.573324814,0.001946821,0.004617359,0.062694664,2.535572527,1.574927009,0.115535007,0.010274609,0.4686603,0.187662152,0.252870489,0.955830321,0.03448966,0.319123871,0.109258398,0.247895523,10.01797608,0.018819592
0.114674954,0.281406173,0.09705418,0.094142134,1.669462731,3.59477597,5.123421344,0.019752081,0.646624967,73.45136045,16.0735932,0.069647304,0.002619869,0.000162736,0.202343644,0.004289404,0.004610869,0.001222462,2.508739101,1.518512765,0.725860885,0.01021555,0.276229313,0.022876283,0.39430773,0.432008263,0.00068266,0.298509083,0.037145846,0.246395468,10.47373792,0.007388608
0.001645531,0.333783111,0.243261739,0.173666939,0.038021616,5.024771334,0.446229145,0.862149083,0.000462082,57.59524119,61.01125582,2.783650529,0.007922046,0.000750683,0.497142961,0.006718353,0.006374138,0.034277534,5.117092809,1.516624963,0.257984885,0.106146159,0.013888852,0.372375598,0.282393505,0.62428901,0.00804611,0.292616313,0.166846747,0.244617124,7.222820661,0.026660336
0.005126467,0.093246677,0.118848577,0.0925681,0.92008455,3.626135454,1.494050598,4.041452148,0.001229379,279.7143321,95.8761932,54.92621432,0.001380152,0.000656819,0.57869684,0.03223033,0.012661937,0.002972651,6.08499647,1.582692559,1.418687415,0.035602108,0.01308855,0.025352992,0.108133203,0.142075655,0.000375739,0.289351969,0.427690872,0.243680099,8.329007567,0.061772877
0.051699322,0.046383989,0.103186231,0.091274789,0.602930567,1.929290516,0.826124984,0.044787689,4.970119567,11.07897324,8.417605009,0.045224803,0.000380429,0.000200155,0.057301127,0.00397458,0.023972001,0.001626685,5.007233387,1.394873364,0.122733564,0.010491814,0.446373242,0.038342164,0.132621352,0.340865514,1.36E-05,0.286084383,0.042714824,0.243656739,9.210917338,0.014173663
0.00025807,0.351236057,0.296918982,0.134973594,1.863094516,30.57254288,0.517189607,0.673019745,0.000649493,81.76026967,98.40120473,2.573666158,0.001462546,0.000136221,0.037824909,0.218629602,0.025868113,0.002302127,4.896776322,1.292274294,0.109595032,0.021337429,0.086127218,0.032764931,0.083541594,0.354553483,0.097309423,0.297836367,1.466021155,0.240112543,7.435217545,0.075400589
0.000324911,0.212412717,0.282385494,0.180997228,0.306728396,1.586786125,0.703491192,0.269600292,0.001302278,10.17738563,51.26129203,1.05639317,0.005880329,0.000122775,0.821933222,0.042845317,0.00902452,0.008629194,1.311267663,1.483601632,0.113913414,0.011032214,0.001570634,0.078418452,0.029714798,0.106509534,0.00271549,0.309431082,0.698614207,0.239298118,9.620057398,0.045698409
0.018651227,0.548712434,0.102637713,0.074865616,0.61134469,5.207927619,7.074292019,0.019062628,0.220025758,59.02673821,14.16828463,0.020608286,0.006368363,0.000557589,0.363306133,0.001998463,0.00415524,0.002594289,2.605591992,1.291998572,1.169956606,0.011001619,0.178218654,0.032588104,0.158835727,0.559433455,0.000219394,0.297890008,0.046208371,0.238949208,9.919825803,0.01301908
0.016751733,0.070428863,0.238682217,0.087231001,0.950323828,76.67631726,1.281813337,3.745987715,0.000778844,89.83471723,33.73294723,91.64635598,0.065135059,0.006558124,0.978896129,0.005421855,0.275433625,0.001684449,2.275853771,1.465580549,0.860771397,0.029953181,0.001109797,0.156177519,0.238073098,0.9754823,6.61556521,0.295482285,0.788298753,0.238815522,9.67344521,0.043945268
0.000212023,0.063000423,0.083586881,0.032710339,0.76995973,12.9505951,0.711510388,0.367184845,8.79037356,96.73892043,21.97349652,0.480657341,0.018291807,0.001787887,0.048708147,0.00190986,0.001722653,0.007707711,9.855712209,1.295111923,0.518921112,0.031201729,0.00100199,0.397016409,0.093093375,0.404691688,0.000247952,0.296862261,0.544490232,0.238697371,9.270487395,0.020516715
0.000322054,0.251692226,0.209971258,0.14889485,0.425410961,7.465226369,3.897947479,0.388971559,0.000491937,13.01173335,57.4722686,4.881666018,0.013305557,0.00040468,0.608473975,0.056608256,0.004556258,0.008394366,1.735984047,1.538130784,0.10965698,0.012320807,0.001512228,0.130014267,0.047190163,0.130849295,0.00018262,0.316206507,1.443118681,0.237792516,8.510935317,0.034567628
0.000646103,0.11403958,0.19897707,0.172576311,0.507687323,22.75682488,2.656256731,0.025922008,0.021560388,428.4422643,15.84117673,0.244795312,0.007288165,0.000242857,0.024226962,0.009986643,0.004300159,0.031032668,5.00302945,1.385454168,1.430839725,0.010180457,0.004569141,0.032872678,0.029201679,0.953393849,0.01425008,0.291440931,1.065676582,0.236457104,7.455953533,0.067815227
0.000282538,0.036767722,0.099801502,0.041397818,1.843499233,14.96451776,0.529572624,0.691189884,4.047382852,120.6199809,23.70184476,1.920287497,0.012402869,0.001779429,0.063038181,0.002237743,0.0028337,0.004677838,5.577705046,1.366080808,0.242422365,0.023142719,0.007016712,0.496406763,0.072289194,0.797508015,0.006446088,0.297688578,0.854974506,0.234807026,9.665137785,0.04119953
0.004531908,0.470821151,0.112915698,0.092106239,0.23853799,1.277358499,1.136146166,1.229400051,0.000281361,5.620864221,90.81960255,1.369406275,0.001178004,0.000210385,0.084948665,0.009945889,0.001326962,0.053224092,9.272033143,1.577480967,0.40767803,0.02951192,0.059096048,0.459957766,0.580885295,0.968746502,0.009680632,0.29453236,0.240984644,0.232986619,8.090604544,0.014210675
0.000147666,0.023622476,0.215132021,0.157554424,0.03702043,110.6846055,4.738286447,0.836084994,2.373926689,535.4481159,38.30218632,2.575991875,0.006116606,0.000179126,0.563121178,0.001697846,0.002747842,0.023563201,1.629510179,1.361688443,0.194935073,0.017230027,0.030403034,0.098960453,0.143543008,0.280730301,0.000246897,0.280354094,0.583223172,0.23197296,8.923459852,0.040156344
0.000420179,0.023931177,0.2360542,0.200734642,0.650428928,2.098406669,0.609977594,0.049707359,2.894094459,6.514472909,78.67419466,0.104822946,0.001349029,0.001090712,0.022572113,0.05543649,0.225671977,0.001371468,2.306792673,1.168809058,0.354560115,0.010085821,0.009164569,0.131665511,0.272155807,0.893216291,0.001160227,0.287900599,0.133866887,0.231829614,7.661367341,0.038866397
0.000318983,0.016171765,0.233118038,0.066590569,1.018551271,2.656586712,0.305188994,1.062063557,0.255465614,10.96553368,10.6790905,2.07442704,0.009081883,0.003650599,0.02607411,0.002145555,0.005842825,0.001080328,7.927964592,1.383510299,0.149418409,0.065285014,0.004780155,0.355988284,0.069433447,0.751631531,0.008865861,0.2893645,1.189677365,0.231650501,8.081069844,0.019916232
0.055123737,0.460132893,0.236994896,0.167254558,0.232803954,9.036493736,0.427897223,4.42315588,1.777588979,20.24909682,18.80616403,18.53940178,0.001457167,0.000238574,0.068885343,0.004105345,0.022195788,0.015597945,3.7903821,1.260232351,0.104873346,0.017666589,0.030350707,0.85646897,0.094091303,0.1184606,0.684091248,0.316039482,0.212882054,0.231413211,7.013475074,0.083392486
0.001091293,0.214670787,0.238385053,0.100715745,2.410512884,52.28015341,2.888431835,0.201194608,0.000132454,235.9172515,71.86047738,0.346932771,0.006589077,0.000101977,0.042770411,0.08878876,0.120804864,0.003677344,5.628608956,1.358327815,0.179877348,0.03040725,0.108887821,0.023794853,0.052055749,0.50851021,0.017849498,0.307161473,0.623381253,0.231099721,7.066926168,0.082727768
0.005812346,0.03172781,0.051018778,0.032029689,0.010479518,69.70130592,4.498111873,0.223963102,0.002422727,402.1142128,60.7448167,0.418650181,0.005711948,0.000847191,0.395447613,0.00264772,0.137758387,0.002786723,7.01250342,1.386881393,0.163088858,0.032860423,0.001053867,0.826321309,0.37432911,0.528455428,0.014066584,0.319079767,0.607878006,0.230731878,7.008963691,0.017302744
0.030732131,0.011149502,0.214816414,0.182394839,0.220943667,47.05021592,1.285952799,4.834031742,0.001066489,52.49720126,33.79481216,86.3464518,0.011200827,0.010240657,0.365324629,0.001847075,0.180899534,0.001094036,2.249273741,1.513056783,0.349850373,0.017777821,0.002261741,0.113776088,0.489789173,0.679838081,0.213367863,0.281437884,0.179289306,0.230418034,10.15595588,0.034624424
0.0001804,0.256912705,0.198828908,0.094950169,0.219763695,15.28188024,1.878749031,0.052495028,0.032005541,212.8674764,11.86425078,0.256955282,0.017897565,0.000157044,0.017740361,0.025800201,0.002149659,0.023164452,6.548776261,1.371353584,1.074630013,0.015451119,0.001663317,0.039390251,0.0320669,0.794308343,0.231256731,0.28716084,0.714151753,0.225782742,7.043191392,0.089843199
0.002121661,0.828756758,0.145321447,0.037718582,0.276338799,9.615965431,0.481201053,0.148663329,0.017774549,71.49578997,80.39167265,0.64489728,0.001652973,0.000246693,0.01588792,0.139350925,0.007069025,0.001018921,9.078972869,1.351260327,0.122435052,0.021516186,0.070286466,0.019323083,0.133420669,0.26953153,0.167781103,0.283995851,1.391225025,0.223847442,7.562105388,0.085091449
0.00726986,0.133123313,0.177326559,0.028711987,0.328914044,5.726471293,0.597803454,1.445621396,0.062661693,516.9592047,75.94368935,3.384892675,0.00105482,0.000616504,0.043290506,0.016327316,0.005230758,0.007535413,1.899049123,1.197150743,0.142431,0.034037651,0.008963935,0.361845247,0.055307062,0.077486597,0.000693381,0.309295343,0.345557413,0.223348895,7.147571028,0.02429904
0.049429707,0.012049801,0.075217492,0.048979542,0.149982991,31.96048738,0.527141118,0.037883868,0.000131317,592.6083623,17.17509033,0.97210073,0.046938457,0.002056237,0.713395413,0.001863723,0.026963927,0.098507126,3.240058207,1.427168162,0.310460255,0.013735648,0.196403283,0.620180318,0.311147723,0.446367558,0.087890581,0.305948698,0.053286869,0.222803491,12.61889002,0.019925196
0.028221595,0.186269473,0.106329362,0.106153105,1.185453561,19.56250216,7.220803008,0.067684779,0.00365523,599.493645,12.6870742,0.267478587,0.010167594,0.002745998,0.347539633,0.002737443,0.027802263,0.001363363,1.619770838,1.306333521,0.799913222,0.013214412,0.716769266,0.09471068,0.173977281,0.401349932,0.006762534,0.305427792,0.129601463,0.222228998,10.79162129,0.037934933
0.00951217,0.725324226,0.187637485,0.126723475,0.117204188,4.427193988,0.952987584,0.940139667,0.000243722,54.52908929,81.40023214,1.920078288,0.003882065,0.000447255,0.064896745,0.010200917,0.002277108,0.051122234,9.838897862,1.539527159,0.178326293,0.066788586,0.178061166,0.401475016,0.286460891,0.675091587,0.016777233,0.295538473,0.117615273,0.221384782,7.49718305,0.014330908
0.006687905,0.055315066,0.299393935,0.235209041,1.937005982,94.15701519,1.344425312,0.376373927,0.186493975,308.7549499,40.02211937,2.73223405,0.001037772,0.000111427,0.011469755,0.010147198,0.048441425,0.007024497,1.923812101,1.145133085,0.555377017,0.053734974,0.026858115,0.768070211,0.065571633,0.275264974,0.023331726,0.288888952,1.644708767,0.221174102,8.452116993,0.008709676
0.025806609,0.020757849,0.108930534,0.054124917,0.480868542,18.40674551,0.723168445,1.263697217,0.000673737,244.4232809,15.41691059,14.8159824,0.000245117,0.000122746,0.01883239,0.00345569,0.016925458,0.030762425,5.00526455,1.136217153,0.216614416,0.016750204,0.058664418,0.170402506,0.015894171,0.165318411,0.157077899,0.281698897,1.492112659,0.220831106,8.02079087,0.020377525
0.001264703,0.362140878,0.195551367,0.130107299,1.143242853,1.87833924,1.601271979,3.209000139,0.00120887,31.97702044,45.68384064,67.8586142,0.000457935,0.000215672,0.345660138,0.013316845,0.004529773,0.00250556,7.034915567,1.478343466,0.617807284,0.011727532,0.009124962,0.013570828,0.073744722,0.109374809,0.001088317,0.287643546,0.996823122,0.220468019,8.66851986,0.023611071
0.010078667,0.01403262,0.112278974,0.110144872,1.731807492,1.807341575,1.79362644,0.445418638,5.310094653,2.750760539,47.84875574,1.423030327,0.002750581,0.000571424,0.010791367,0.001030556,0.022060031,0.001031433,3.232936696,1.45338912,0.122034321,0.028179172,0.72567476,0.022799952,0.305306575,0.338175238,0.002314714,0.313424685,0.621639573,0.219290307,7.010777178,0.051813046
0.594309087,0.115386738,0.117062752,0.05996911,0.358971694,9.304964562,0.156950325,3.251492338,1.862838414,239.4544382,19.80656821,11.68222094,0.000270952,0.000216348,0.022563774,0.009647297,0.009349827,0.01900591,1.351712918,1.449481383,0.105751852,0.018213005,0.023746713,0.677773235,0.135787463,0.244065054,0.013708838,0.280741575,0.502905396,0.219199508,13.24249467,0.011888817
0.001010171,0.030722746,0.071383756,0.045840238,0.017443123,39.54554242,5.703249182,0.274029862,0.000522667,551.5239478,52.25422253,0.543553651,0.003686548,0.000730224,0.205911226,0.001005432,0.151220598,0.002056783,7.105666002,1.508434741,0.236281194,0.049070608,0.001060682,0.870464894,0.180292963,0.739814651,0.036358883,0.316637373,0.548778934,0.219082976,7.254972303,0.039411826
0.024284229,0.679199593,0.276858583,0.211612478,0.233132919,12.45247603,1.271892934,2.582108165,0.005253891,91.7043837,9.887511454,19.36554571,0.003402549,0.000435095,0.274310933,0.037950136,0.226219179,0.008733712,1.068417733,1.165209292,0.154354675,0.013668143,0.033837993,0.482917477,0.223648421,0.281735086,0.473426008,0.319785287,0.15660342,0.21862313,7.439437391,0.039097747
0.010623247,0.027966589,0.198917774,0.120079061,0.247819679,1.447811622,0.299785438,0.023623733,0.98528987,13.99366169,10.02443787,0.074935203,0.002274637,0.000128681,0.049347684,0.005227728,0.005093195,0.00389155,3.603781241,1.471914771,0.166112132,0.010749423,0.383182618,0.046298197,0.118473287,0.388933201,0.000107748,0.289494702,0.060094682,0.216562516,8.380304476,0.04483553
0.010629883,0.011298139,0.175742126,0.149289341,0.160099954,45.6101532,0.630898548,4.18162591,0.031653058,46.61043709,26.33990298,16.45474701,0.033837664,0.015085321,0.270794199,0.002195148,0.035211018,0.001045729,2.801868179,1.458646419,0.157264568,0.013454523,0.00119688,0.206626581,0.322642059,0.936209179,1.273822004,0.282773373,0.105020945,0.215521807,7.525487364,0.060745499
0.006665926,0.137618047,0.116957634,0.070948013,1.385120019,15.75999967,1.389115211,4.463140177,0.004134656,530.3168612,24.7808837,31.7622539,0.000969464,0.000903178,0.846229089,0.001139575,0.005807627,0.001066677,6.207129382,1.427279336,0.452193522,0.039849135,0.022470534,0.085965892,0.05840121,0.163914925,0.010234858,0.284119127,0.487974577,0.214608771,9.47430361,0.02508435
0.025895551,0.214754463,0.257929096,0.241864009,0.011797515,3.109752218,1.210498382,0.085795067,0.685535066,50.6618368,8.150261399,0.868849695,0.029536994,0.000608527,0.011871253,0.003718091,0.002110585,0.067673997,6.843355546,1.399782235,0.398128635,0.012447794,0.917727254,0.202109547,0.110655337,0.561315546,0.002151735,0.317488315,0.031308049,0.213603214,8.392744489,0.081295263
0.001873172,0.483269925,0.28273025,0.282053623,1.209103733,10.0744305,1.221741281,0.399131429,0.001488332,384.7491114,24.5773131,23.58408373,0.00285269,0.000479167,0.025864585,0.194678164,0.001898419,0.013130604,3.804846071,1.446196747,0.918629756,0.046219725,0.001537845,0.022860893,0.076729248,0.499945796,0.01707033,0.299136977,0.505296364,0.212884245,9.825666812,0.071075202
0.044206181,0.194758221,0.280684911,0.215320739,0.01090651,2.216315402,0.473501485,0.054744677,0.015654352,74.94916785,7.494047439,0.405163404,0.009444838,0.000915138,0.011831591,0.010594568,0.00300299,0.00831248,9.410187383,1.366216169,0.309755939,0.015429742,0.474504058,0.448074735,0.127866688,0.381267945,0.005025472,0.319345731,0.041560403,0.210089052,9.009374251,0.087404991
0.005422752,0.134976322,0.139377804,0.123220467,2.116424445,1.96200502,0.642858899,0.286289772,0.000815655,550.2195495,4.671433044,0.999732914,0.005362688,0.002762192,0.641142517,0.014144537,0.002597199,0.006377453,1.606388289,1.479443866,0.375543642,0.012415259,0.404949758,0.05252149,0.097061154,0.239170523,0.001176075,0.312151253,0.188194563,0.209904666,11.73690754,0.046230671
0.001121037,0.124762719,0.139217146,0.125015436,0.151330156,1.066765122,0.503456929,2.044673339,0.000114074,11.31258552,40.25239816,11.39317154,0.000510843,0.000175182,0.240927084,0.003014582,0.001306216,0.015442814,4.46465149,1.337485762,0.16231575,0.042054805,0.305898729,0.012582841,0.088081714,0.539602567,2.00E-05,0.301879726,0.09188914,0.20983175,8.152137264,0.072268115
0.000392053,0.028611618,0.106044526,0.054545562,0.160861798,14.37252414,0.43144822,0.335411,4.103759039,38.4715245,14.7494867,0.535585449,0.006809488,0.000767385,0.023959876,0.002096715,0.002309228,0.002071675,8.532910464,1.318569367,0.427378255,0.028924553,0.002247024,0.388740734,0.096485687,0.256203908,1.83E-05,0.295392912,0.892020255,0.207729679,8.649800984,0.022685331
0.014513546,0.344068651,0.075031016,0.066073189,0.566837217,11.42949121,3.210378872,0.036589077,0.009344285,169.8091795,9.376630934,0.170373223,0.002957489,0.000681153,0.191332342,0.001012327,0.093464485,0.002107893,1.924224792,1.289561158,0.671146511,0.012244603,0.589944986,0.100269625,0.097693742,0.268619431,0.005135434,0.299766768,0.148246913,0.205923719,10.86139024,0.015505615
0.018345356,0.10882622,0.106380942,0.101146092,1.27027004,5.14569593,1.704216849,0.16624942,0.000166198,139.4410839,5.419564278,0.834672373,0.004208207,0.002700156,0.612394751,0.009828449,0.001493291,0.002640899,4.190711634,1.525996023,0.931948533,0.015475452,0.649368704,0.060629626,0.088138242,0.328819275,0.030565942,0.318244176,0.20737036,0.204602232,9.513112754,0.073008246
0.000791014,0.660592695,0.196575098,0.114132543,0.537937564,5.586856665,0.335780748,0.081836979,0.007784752,69.00305768,65.78842676,1.354624915,0.004119631,0.000307473,0.027734894,0.116051734,0.023795623,0.001521792,6.984797545,1.416032263,0.190383166,0.017893505,0.474757883,0.012326137,0.11508368,0.181970963,0.165800098,0.293284761,0.915245211,0.202513532,7.182701411,0.070149655
0.001295183,0.043941791,0.083946306,0.064250154,0.040206087,55.47153776,1.305648068,0.397543963,0.000668532,86.49139777,8.671913074,3.593902063,0.019444914,0.009832485,0.22893428,0.004308409,0.188587688,0.001007292,8.008200585,1.525510423,0.574307132,0.083088996,0.005928474,0.512200287,0.129285949,0.421174926,0.006908296,0.315613888,1.024358993,0.201382414,9.749774435,0.068577282
0.000568298,0.458355915,0.092247738,0.045030659,0.818024986,64.62016585,3.12620244,0.035097062,0.016687775,446.9017306,13.86126502,0.692193324,0.000439667,0.00039323,0.049003096,0.004287121,0.009974933,0.042279102,7.443708131,1.374980316,2.830675071,0.013467535,0.00661464,0.019381767,0.18565904,0.730289159,0.109195402,0.289856541,1.567779002,0.200394948,7.896185222,0.023250528
0.006756094,0.081263477,0.191918916,0.103954023,2.208548443,60.11398965,0.642802931,0.776881771,0.007353442,99.43482301,37.27487936,1.938949298,0.00446096,0.000327317,0.017176676,0.007496737,0.2394572,0.001357219,1.499812598,1.309245355,0.596578183,0.050455411,0.038538417,0.53144058,0.080598453,0.317223631,0.000978616,0.281007706,0.7547342,0.195973852,7.79443716,0.008232707
0.000217338,0.210335247,0.13305171,0.127678626,0.201956141,11.6925145,0.630093986,0.234409349,0.042574459,459.1945278,10.26535103,8.293221834,0.010719376,0.000166458,0.047874294,0.001356379,0.039009045,0.001532862,1.578913715,1.28932821,0.424946556,0.036343434,0.75220175,0.229697208,0.372887805,0.467501721,0.162816207,0.302685906,0.266516312,0.195894632,11.4863348,0.077316569
0.000903956,0.056043944,0.2244271,0.091019176,0.233813102,14.37356628,0.489897758,0.431710913,0.000205686,73.091618,58.65737838,1.263806432,0.011313378,0.000257463,0.690414992,0.009597605,0.059673941,0.011183106,8.795384322,1.380402043,0.144094279,0.029572895,0.00412401,0.573801426,0.092190239,0.131264188,0.222551306,0.282893995,0.627776513,0.195622662,11.05570897,0.092041106
0.046063109,0.952819197,0.085144522,0.082550805,0.785655333,6.430684976,2.162857538,0.022045833,1.179998279,13.34668789,12.6734788,0.103158969,0.001725996,0.00037449,0.11390911,0.005057788,0.01541377,0.002760929,4.786700203,1.543283811,0.407486267,0.012542103,0.123959968,0.01238734,0.345464865,0.492625218,0.355940576,0.287781801,0.086476866,0.194738369,12.01628929,0.023647904
